Date,Day_of_Week,Month,Month_Name,Quarter,Week_of_Year,Is_Weekend,Holiday,Clinic_Type,Provider_Count,Available_Slots,Scheduled_Appointments,Completed_Appointments,Cancelled_Appointments,No_Shows,Walk_Ins,Patient_Volume,Average_Wait_Time,Capacity_Utilization,Revenue,Claims_Submitted,Claims_Denied,Staffing_Level
2023-01-14,Saturday,1,January,1,2,1,0,General OPD,8,128,69,77,3,5,16,77,52.7,60.2,2098.75,68,5,10
2023-01-15,Sunday,1,January,1,2,1,0,General OPD,10,150,75,82,3,7,17,82,43.1,54.7,1717.5,79,4,12
2023-01-16,Monday,1,January,1,3,0,0,General OPD,9,144,119,120,8,12,21,120,51.9,83.3,4617.15,113,6,13
2023-01-17,Tuesday,1,January,1,3,0,0,General OPD,8,136,124,137,5,8,26,137,73.4,100.7,3712.13,133,8,13
2023-01-18,Wednesday,1,January,1,3,0,0,Pediatrics,8,136,109,116,6,8,21,116,59.9,85.3,3579.01,106,7,12
2023-01-19,Thursday,1,January,1,3,0,0,Pediatrics,8,144,100,96,7,9,12,96,38.2,66.7,2927.07,89,5,10
2023-01-20,Friday,1,January,1,3,0,0,General OPD,9,135,105,103,4,9,11,103,47.1,76.3,3803.48,100,6,11
2023-01-21,Saturday,1,January,1,3,1,0,Pediatrics,9,135,46,54,3,4,15,54,37.1,40.0,2037.93,49,3,15
2023-01-22,Sunday,1,January,1,3,1,0,General OPD,9,162,83,83,5,4,9,83,32.5,51.2,2226.93,81,4,13
2023-01-23,Monday,1,January,1,4,0,0,General OPD,8,144,115,119,6,7,17,119,53.6,82.6,4453.89,115,7,12
2023-01-24,Tuesday,1,January,1,4,0,0,General OPD,8,120,136,142,11,8,25,142,95.5,118.3,5304.22,139,9,11
2023-01-25,Wednesday,1,January,1,4,0,0,Pediatrics,7,112,97,106,6,9,24,106,72.6,94.6,3400.21,97,7,12
2023-01-26,Thursday,1,January,1,4,0,0,Medicine,8,128,113,120,6,6,19,120,66.0,93.8,4287.62,108,6,11
2023-01-27,Friday,1,January,1,4,0,0,General OPD,9,162,85,89,4,8,16,89,48.6,54.9,3215.69,81,5,12
2023-01-28,Saturday,1,January,1,4,1,0,Pediatrics,8,128,63,68,4,5,14,68,42.3,53.1,2107.34,66,5,13
2023-01-29,Sunday,1,January,1,4,1,0,Pediatrics,8,120,59,64,3,5,13,64,50.9,53.3,2007.66,58,4,14
2023-01-30,Monday,1,January,1,5,0,0,General OPD,8,136,129,133,9,7,20,133,65.3,97.8,4569.52,125,6,14
2023-01-31,Tuesday,1,January,1,5,0,0,Pediatrics,9,153,119,117,7,9,14,117,60.5,76.5,2981.85,108,7,14
2023-02-01,Wednesday,2,February,1,5,0,0,General OPD,8,128,122,128,9,9,24,128,72.9,100.0,3914.85,118,8,13
2023-02-02,Thursday,2,February,1,5,0,0,General OPD,6,108,134,129,7,10,12,129,100.0,119.4,3508.61,116,6,10
2023-02-03,Friday,2,February,1,5,0,0,Surgical OPD,8,144,72,73,4,5,10,73,46.7,50.7,2751.68,68,4,12
2023-02-04,Saturday,2,February,1,5,1,0,Surgical OPD,9,162,53,63,3,4,17,63,21.2,38.9,1923.87,61,3,13
2023-02-05,Sunday,2,February,1,5,1,0,Medicine,9,162,67,69,4,5,11,69,39.6,42.6,2284.28,61,2,13
2023-02-06,Monday,2,February,1,6,0,0,General OPD,10,180,127,125,7,11,16,125,54.2,69.4,3890.79,121,6,12
2023-02-07,Tuesday,2,February,1,6,0,0,General OPD,8,128,147,149,14,7,23,149,100.0,116.4,4599.04,141,9,10
2023-02-08,Wednesday,2,February,1,6,0,0,Medicine,7,119,113,113,10,11,21,113,62.9,95.0,3711.36,106,5,13
2023-02-09,Thursday,2,February,1,6,0,0,Pediatrics,9,153,102,101,7,9,15,101,50.7,66.0,2936.82,95,5,11
2023-02-10,Friday,2,February,1,6,0,0,General OPD,9,144,105,104,7,6,12,104,51.5,72.2,3245.43,95,3,11
2023-02-11,Saturday,2,February,1,6,1,0,Pediatrics,9,162,88,94,5,7,18,94,46.3,58.0,2930.6,87,5,13
2023-02-12,Sunday,2,February,1,6,1,0,General OPD,9,144,97,104,5,8,20,104,55.5,72.2,3151.94,100,6,13
2023-02-13,Monday,2,February,1,7,0,0,Surgical OPD,9,153,100,112,6,5,23,112,56.7,73.2,3759.19,102,6,14
2023-02-14,Tuesday,2,February,1,7,0,0,General OPD,9,135,143,148,10,10,25,148,83.7,109.6,4471.38,137,6,13
2023-02-15,Wednesday,2,February,1,7,0,0,Medicine,9,144,105,108,8,7,18,108,53.1,75.0,4152.0,95,8,14
2023-02-16,Thursday,2,February,1,7,0,0,General OPD,9,162,143,148,11,8,24,148,64.5,91.4,5108.35,141,11,14
2023-02-17,Friday,2,February,1,7,0,0,Pediatrics,9,153,112,102,5,8,3,102,46.8,66.7,2713.48,94,4,11
2023-02-18,Saturday,2,February,1,7,1,0,Pediatrics,9,153,78,87,5,5,19,87,42.9,56.9,2975.71,81,6,13
2023-02-19,Sunday,2,February,1,7,1,0,General OPD,10,170,66,78,3,6,21,78,39.6,45.9,2280.88,70,5,12
2023-02-20,Monday,2,February,1,8,0,0,Surgical OPD,8,136,115,121,9,7,22,121,58.2,89.0,3937.67,118,6,12
2023-02-21,Tuesday,2,February,1,8,0,0,Medicine,9,162,120,125,7,10,22,125,57.2,77.2,3634.4,114,5,11
2023-02-22,Wednesday,2,February,1,8,0,0,Surgical OPD,9,135,99,108,6,4,19,108,60.3,80.0,2508.02,102,5,11
2023-02-23,Thursday,2,February,1,8,0,0,Surgical OPD,8,136,82,90,6,5,19,90,43.7,66.2,2872.18,84,7,10
2023-02-24,Friday,2,February,1,8,0,0,Pediatrics,8,128,110,104,11,7,12,104,61.1,81.2,2731.28,100,7,14
2023-02-25,Saturday,2,February,1,8,1,0,Surgical OPD,9,135,59,61,4,4,10,61,34.2,45.2,2054.41,55,3,11
2023-02-26,Sunday,2,February,1,8,1,0,General OPD,9,153,95,104,6,6,21,104,53.1,68.0,3400.71,99,5,12
2023-02-27,Monday,2,February,1,9,0,0,General OPD,9,135,137,149,7,8,27,149,94.6,110.4,4408.08,137,10,12
2023-02-28,Tuesday,2,February,1,9,0,0,General OPD,9,144,141,132,12,11,14,132,64.2,91.7,5187.88,122,8,12
2023-03-01,Wednesday,3,March,1,9,0,0,General OPD,9,153,119,131,7,10,29,131,52.9,85.6,3542.61,124,6,14
2023-03-02,Thursday,3,March,1,9,0,0,General OPD,9,144,135,125,12,9,11,125,55.6,86.8,3687.83,120,7,11
2023-03-03,Friday,3,March,1,9,0,0,General OPD,8,144,120,113,9,6,8,113,55.1,78.5,3109.45,107,5,11
2023-03-04,Saturday,3,March,1,9,1,0,Medicine,9,153,85,79,5,9,8,79,51.0,51.6,3173.06,77,4,14
2023-03-05,Sunday,3,March,1,9,1,0,General OPD,9,153,98,104,5,6,17,104,40.1,68.0,3890.53,94,5,12
2023-03-06,Monday,3,March,1,10,0,0,General OPD,9,153,137,138,9,6,16,138,63.3,90.2,3630.99,134,9,13
2023-03-07,Tuesday,3,March,1,10,0,0,Pediatrics,8,136,121,127,7,4,17,127,66.3,93.4,3644.6,113,6,14
2023-03-08,Wednesday,3,March,1,10,0,0,General OPD,10,180,144,140,10,10,16,140,50.7,77.8,4036.67,132,7,12
2023-03-09,Thursday,3,March,1,10,0,0,Medicine,9,153,127,124,10,8,15,124,54.0,81.0,3694.84,116,4,15
2023-03-10,Friday,3,March,1,10,0,0,General OPD,9,135,127,123,6,11,13,123,61.2,91.1,3422.95,114,7,15
2023-03-11,Saturday,3,March,1,10,1,0,Surgical OPD,9,153,56,66,4,4,18,66,43.6,43.1,1952.08,60,3,13
2023-03-12,Sunday,3,March,1,10,1,0,Medicine,9,162,98,106,7,7,22,106,54.1,65.4,3818.07,99,4,13
2023-03-13,Monday,3,March,1,11,0,0,General OPD,9,153,138,144,10,9,25,144,68.1,94.1,5729.42,129,9,13
2023-03-14,Tuesday,3,March,1,11,0,0,General OPD,10,150,132,134,7,12,21,134,60.9,89.3,3460.2,123,7,15
2023-03-15,Wednesday,3,March,1,11,0,0,Medicine,8,144,126,116,9,13,12,116,51.8,80.6,3228.93,103,3,11
2023-03-16,Thursday,3,March,1,11,0,0,Medicine,9,162,129,115,10,11,7,115,50.4,71.0,3778.24,108,5,11
2023-03-17,Friday,3,March,1,11,0,0,Medicine,9,135,113,114,8,7,16,114,65.2,84.4,2927.38,101,6,13
2023-03-18,Saturday,3,March,1,11,1,0,Medicine,9,135,68,74,4,6,16,74,42.1,54.8,2438.87,66,4,11
2023-03-19,Sunday,3,March,1,11,1,0,General OPD,9,135,109,108,9,7,15,108,49.8,80.0,3689.32,96,5,11
2023-03-20,Monday,3,March,1,12,0,0,General OPD,9,135,150,148,9,8,15,148,85.0,109.6,5150.79,136,3,11
2023-03-21,Tuesday,3,March,1,12,0,0,General OPD,9,135,156,157,8,9,18,157,99.1,116.3,5345.63,151,9,13
2023-03-22,Wednesday,3,March,1,12,0,0,Medicine,8,144,115,121,7,7,20,121,52.2,84.0,3612.94,117,8,12
2023-03-23,Thursday,3,March,1,12,0,1,Pediatrics,10,180,76,81,6,5,16,81,38.1,45.0,2533.14,72,5,13
2023-03-24,Friday,3,March,1,12,0,0,General OPD,9,153,107,104,8,11,16,104,51.0,68.0,2837.32,98,5,13
2023-03-25,Saturday,3,March,1,12,1,0,General OPD,9,153,87,87,6,5,11,87,40.4,56.9,2945.59,83,6,13
2023-03-26,Sunday,3,March,1,12,1,0,General OPD,9,144,80,83,6,7,16,83,35.1,57.6,3188.32,77,3,11
2023-03-27,Monday,3,March,1,13,0,0,General OPD,9,153,117,126,9,7,25,126,49.7,82.4,4264.95,119,5,12
2023-03-28,Tuesday,3,March,1,13,0,0,Medicine,9,153,137,136,9,5,13,136,56.8,88.9,3973.92,123,8,15
2023-03-29,Wednesday,3,March,1,13,0,0,Pediatrics,8,120,142,144,9,9,20,144,98.9,120.0,5181.0,134,10,12
2023-03-30,Thursday,3,March,1,13,0,0,Surgical OPD,10,150,99,95,8,9,13,95,46.7,63.3,3938.95,87,5,14
2023-03-31,Friday,3,March,1,13,0,0,Pediatrics,10,170,112,112,6,9,15,112,51.8,65.9,3692.93,100,4,16
2023-04-01,Saturday,4,April,2,13,1,0,General OPD,8,128,61,67,4,5,15,67,35.4,52.3,2292.6,63,3,10
2023-04-02,Sunday,4,April,2,13,1,0,Medicine,9,135,103,101,6,10,14,101,55.1,74.8,3505.79,94,4,12
2023-04-03,Monday,4,April,2,14,0,0,Medicine,8,136,125,128,10,6,19,128,65.8,94.1,3274.52,116,5,10
2023-04-04,Tuesday,4,April,2,14,0,0,Pediatrics,9,153,142,139,9,7,13,139,54.6,90.8,4219.42,129,8,14
2023-04-05,Wednesday,4,April,2,14,0,0,Medicine,9,162,107,119,7,3,22,119,51.1,73.5,3563.4,114,6,13
2023-04-06,Thursday,4,April,2,14,0,0,Pediatrics,10,160,123,118,11,10,16,118,57.8,73.8,4170.06,113,5,15
2023-04-07,Friday,4,April,2,14,0,0,Pediatrics,10,180,109,112,6,9,18,112,50.4,62.2,3905.83,106,5,14
2023-04-08,Saturday,4,April,2,14,1,0,Pediatrics,10,160,64,66,4,5,11,66,36.2,41.2,2080.13,61,1,15
2023-04-09,Sunday,4,April,2,14,1,0,General OPD,9,135,94,104,6,5,21,104,58.3,77.0,3089.27,98,6,15
2023-04-10,Monday,4,April,2,15,0,0,General OPD,8,128,133,134,10,6,17,134,81.8,104.7,3383.98,123,9,12
2023-04-11,Tuesday,4,April,2,15,0,0,General OPD,9,153,166,154,15,8,11,154,80.8,100.7,4918.51,137,7,13
2023-04-12,Wednesday,4,April,2,15,0,0,Pediatrics,9,153,117,123,7,6,19,123,45.9,80.4,3466.35,113,5,14
2023-04-13,Thursday,4,April,2,15,0,0,General OPD,8,128,149,139,8,15,13,139,79.5,108.6,3848.35,130,9,11
2023-04-14,Friday,4,April,2,15,0,0,Pediatrics,10,160,114,105,7,10,8,105,51.2,65.6,3749.03,99,6,15
2023-04-15,Saturday,4,April,2,15,1,0,Surgical OPD,10,160,76,83,5,5,17,83,49.1,51.9,2928.88,81,5,14
2023-04-16,Sunday,4,April,2,15,1,0,General OPD,9,162,98,106,7,7,22,106,49.5,65.4,3184.84,102,5,13
2023-04-17,Monday,4,April,2,16,0,0,General OPD,8,128,167,167,11,10,21,167,100.0,125.0,4295.88,149,9,11
2023-04-18,Tuesday,4,April,2,16,0,0,Medicine,8,120,123,124,11,9,21,124,74.9,103.3,3558.4,111,7,10
2023-04-19,Wednesday,4,April,2,16,0,0,General OPD,9,162,132,133,11,7,19,133,53.4,82.1,4784.41,118,5,12
2023-04-20,Thursday,4,April,2,16,0,0,General OPD,9,162,125,117,10,10,12,117,56.6,72.2,3962.89,112,6,11
2023-04-21,Friday,4,April,2,16,0,0,General OPD,10,160,132,126,13,7,14,126,51.7,78.8,3794.21,120,5,14
2023-04-22,Saturday,4,April,2,16,1,0,General OPD,9,135,101,92,8,8,7,92,53.9,68.1,2965.62,90,5,15
2023-04-23,Sunday,4,April,2,16,1,0,Surgical OPD,9,162,79,81,6,5,13,81,43.8,50.0,1919.76,76,3,15
2023-04-24,Monday,4,April,2,17,0,0,Medicine,9,153,117,119,9,7,18,119,61.6,77.8,2784.35,115,7,14
2023-04-25,Tuesday,4,April,2,17,0,0,Pediatrics,9,162,130,132,10,12,24,132,55.7,81.5,5267.92,124,9,12
2023-04-26,Wednesday,4,April,2,17,0,0,Medicine,9,144,124,124,9,9,18,124,57.4,86.1,4219.24,120,7,12
2023-04-27,Thursday,4,April,2,17,0,0,Medicine,9,135,140,142,9,9,20,142,87.0,105.2,4544.94,135,9,15
2023-04-28,Friday,4,April,2,17,0,0,General OPD,9,144,116,115,6,10,15,115,49.3,79.9,3497.4,109,4,11
2023-04-29,Saturday,4,April,2,17,1,0,Surgical OPD,9,153,68,71,4,3,10,71,36.7,46.4,1771.64,66,5,12
2023-04-30,Sunday,4,April,2,17,1,0,Pediatrics,9,153,87,93,6,8,20,93,37.0,60.8,3345.48,89,6,11
2023-05-01,Monday,5,May,2,18,0,1,Medicine,8,136,98,103,7,7,19,103,45.8,75.7,2827.6,95,5,10
2023-05-02,Tuesday,5,May,2,18,0,0,Surgical OPD,9,144,132,138,7,11,24,138,79.4,95.8,4804.71,123,7,11
2023-05-03,Wednesday,5,May,2,18,0,0,General OPD,10,180,132,141,8,6,23,141,56.7,78.3,4586.45,125,6,12
2023-05-04,Thursday,5,May,2,18,0,0,General OPD,9,144,136,137,9,9,19,137,62.0,95.1,4355.45,127,10,14
2023-05-05,Friday,5,May,2,18,0,0,General OPD,8,120,116,114,7,8,13,114,74.7,95.0,3054.12,107,7,13
2023-05-06,Saturday,5,May,2,18,1,0,Pediatrics,9,162,95,99,7,8,19,99,42.0,61.1,2657.54,88,4,15
2023-05-07,Sunday,5,May,2,18,1,0,Medicine,9,153,111,113,8,9,19,113,54.5,73.9,3792.25,103,7,14
2023-05-08,Monday,5,May,2,19,0,0,Medicine,8,128,141,145,8,9,21,145,94.8,113.3,4685.95,132,11,11
2023-05-09,Tuesday,5,May,2,19,0,0,General OPD,8,136,154,152,12,11,21,152,98.1,111.8,4892.68,142,9,13
2023-05-10,Wednesday,5,May,2,19,0,0,Pediatrics,9,153,127,123,10,11,17,123,51.5,80.4,4076.73,112,6,12
2023-05-11,Thursday,5,May,2,19,0,0,General OPD,8,120,138,137,9,9,17,137,89.0,114.2,3322.66,122,7,11
2023-05-12,Friday,5,May,2,19,0,0,General OPD,9,162,107,105,8,7,13,105,33.7,64.8,3786.36,94,6,11
2023-05-13,Saturday,5,May,2,19,1,0,General OPD,8,120,93,96,7,4,14,96,53.4,80.0,2935.33,86,4,14
2023-05-14,Sunday,5,May,2,19,1,0,General OPD,9,135,104,111,5,7,19,111,58.6,82.2,4071.32,107,5,11
2023-05-15,Monday,5,May,2,20,0,0,Surgical OPD,8,120,123,131,9,5,22,131,90.8,109.2,3139.64,119,8,10
2023-05-16,Tuesday,5,May,2,20,0,0,General OPD,9,153,147,159,8,10,30,159,86.1,103.9,5449.9,151,8,14
2023-05-17,Wednesday,5,May,2,20,0,0,Pediatrics,9,135,136,133,8,12,17,133,74.6,98.5,4553.7,125,10,14
2023-05-18,Thursday,5,May,2,20,0,0,Medicine,9,135,137,140,9,5,17,140,82.1,103.7,3647.77,137,10,12
2023-05-19,Friday,5,May,2,20,0,0,General OPD,9,162,115,111,4,11,11,111,49.2,68.5,3268.17,101,6,14
2023-05-20,Saturday,5,May,2,20,1,0,Surgical OPD,8,144,82,75,5,5,3,75,45.0,52.1,2082.15,67,3,13
2023-05-21,Sunday,5,May,2,20,1,0,Surgical OPD,10,150,87,90,7,6,16,90,40.3,60.0,3190.76,80,4,14
2023-05-22,Monday,5,May,2,21,0,0,General OPD,8,144,137,139,6,9,17,139,63.6,96.5,4619.74,126,6,11
2023-05-23,Tuesday,5,May,2,21,0,0,Pediatrics,9,162,137,143,10,6,22,143,56.2,88.3,5490.54,136,6,12
2023-05-24,Wednesday,5,May,2,21,0,0,General OPD,8,120,140,143,8,8,19,143,100.0,119.2,4692.09,127,9,12
2023-05-25,Thursday,5,May,2,21,0,0,General OPD,9,153,125,120,8,13,16,120,46.8,78.4,4191.48,109,5,12
2023-05-26,Friday,5,May,2,21,0,0,General OPD,9,135,114,112,6,6,10,112,52.2,83.0,4109.06,108,5,15
2023-05-27,Saturday,5,May,2,21,1,0,Pediatrics,9,162,92,93,6,4,11,93,40.8,57.4,3182.25,87,4,15
2023-05-28,Sunday,5,May,2,21,1,0,Pediatrics,8,136,108,112,8,8,20,112,59.0,82.4,3411.89,99,7,12
2023-05-29,Monday,5,May,2,22,0,0,General OPD,8,128,144,142,10,10,18,142,91.9,110.9,4220.07,126,7,13
2023-05-30,Tuesday,5,May,2,22,0,0,General OPD,8,136,153,149,9,10,15,149,87.4,109.6,4720.48,132,11,14
2023-05-31,Wednesday,5,May,2,22,0,0,Surgical OPD,10,180,124,128,7,9,20,128,52.3,71.1,4503.85,125,6,14
2023-06-01,Thursday,6,June,2,22,0,0,General OPD,9,153,107,111,6,9,19,111,53.0,72.5,3211.85,107,4,15
2023-06-02,Friday,6,June,2,22,0,0,General OPD,9,135,114,114,8,7,15,114,54.2,84.4,3945.38,110,7,11
2023-06-03,Saturday,6,June,2,22,1,0,Pediatrics,10,160,60,66,4,4,14,66,33.8,41.2,2197.17,64,4,14
2023-06-04,Sunday,6,June,2,22,1,0,Surgical OPD,8,128,70,81,5,6,22,81,54.2,63.3,2185.93,75,3,11
2023-06-05,Monday,6,June,2,23,0,0,General OPD,8,128,143,154,6,8,25,154,87.9,120.3,5299.78,139,10,14
2023-06-06,Tuesday,6,June,2,23,0,0,Medicine,8,144,160,166,10,5,21,166,90.4,115.3,5406.24,153,11,11
2023-06-07,Wednesday,6,June,2,23,0,0,Medicine,8,144,115,120,6,9,20,120,54.5,83.3,3575.75,114,7,12
2023-06-08,Thursday,6,June,2,23,0,0,General OPD,8,128,138,130,9,15,16,130,79.8,101.6,4226.26,126,7,14
2023-06-09,Friday,6,June,2,23,0,0,Medicine,8,136,135,130,7,10,12,130,75.2,95.6,3893.94,120,9,11
2023-06-10,Saturday,6,June,2,23,1,0,General OPD,9,144,89,94,6,7,18,94,56.7,65.3,3101.12,88,5,14
2023-06-11,Sunday,6,June,2,23,1,0,Pediatrics,8,136,109,112,6,7,16,112,54.6,82.4,3508.75,109,5,13
2023-06-12,Monday,6,June,2,24,0,0,Pediatrics,9,153,130,131,5,13,19,131,56.9,85.6,3390.32,117,4,11
2023-06-13,Tuesday,6,June,2,24,0,0,Pediatrics,9,162,132,126,9,9,12,126,54.8,77.8,3962.43,122,4,13
2023-06-14,Wednesday,6,June,2,24,0,0,General OPD,8,136,126,126,7,9,16,126,63.1,92.6,3808.89,113,7,11
2023-06-15,Thursday,6,June,2,24,0,0,Medicine,8,128,114,106,8,10,10,106,49.3,82.8,3661.49,98,5,10
2023-06-16,Friday,6,June,2,24,0,0,General OPD,8,144,102,104,4,6,12,104,50.0,72.2,3693.98,94,6,12
2023-06-17,Saturday,6,June,2,24,1,0,General OPD,8,120,92,90,5,5,8,90,55.5,75.0,2696.76,85,6,13
2023-06-18,Sunday,6,June,2,24,1,0,General OPD,10,150,94,100,5,8,19,100,46.8,66.7,2884.24,94,5,13
2023-06-19,Monday,6,June,2,25,0,0,Pediatrics,8,144,146,153,9,9,25,153,84.8,106.2,3867.75,140,11,14
2023-06-20,Tuesday,6,June,2,25,0,0,Medicine,8,128,121,131,5,7,22,131,68.5,102.3,3765.44,127,7,13
2023-06-21,Wednesday,6,June,2,25,0,0,General OPD,9,135,124,118,8,13,15,118,59.3,87.4,3623.42,112,6,15
2023-06-22,Thursday,6,June,2,25,0,0,Pediatrics,8,120,122,120,10,8,16,120,73.0,100.0,3197.15,114,7,14
2023-06-23,Friday,6,June,2,25,0,0,General OPD,9,153,117,121,7,9,20,121,47.2,79.1,4304.28,108,8,12
2023-06-24,Saturday,6,June,2,25,1,0,Pediatrics,8,136,77,86,4,6,19,86,49.7,63.2,2842.18,83,3,11
2023-06-25,Sunday,6,June,2,25,1,0,General OPD,9,144,87,90,3,5,11,90,55.4,62.5,2836.65,81,5,15
2023-06-26,Monday,6,June,2,26,0,0,Medicine,8,144,131,129,6,11,15,129,66.9,89.6,4119.4,116,6,10
2023-06-27,Tuesday,6,June,2,26,0,0,General OPD,9,144,140,136,8,11,15,136,73.3,94.4,4518.49,121,7,15
2023-06-28,Wednesday,6,June,2,26,0,0,Surgical OPD,8,144,112,114,6,7,15,114,57.2,79.2,3936.69,105,5,14
2023-06-29,Thursday,6,June,2,26,0,0,General OPD,10,150,137,133,9,11,16,133,64.1,88.7,4686.39,129,8,13
2023-06-30,Friday,6,June,2,26,0,0,General OPD,8,136,147,139,9,9,10,139,68.8,102.2,4276.12,126,10,12
2023-07-01,Saturday,7,July,3,26,1,0,General OPD,8,128,83,82,7,4,10,82,46.2,64.1,2577.45,75,6,13
2023-07-02,Sunday,7,July,3,26,1,0,Surgical OPD,7,112,76,90,3,4,21,90,56.7,80.4,2942.27,87,5,10
2023-07-03,Monday,7,July,3,27,0,0,Medicine,8,144,137,142,8,10,23,142,75.9,98.6,4440.19,134,7,10
2023-07-04,Tuesday,7,July,3,27,0,0,General OPD,8,144,156,155,6,10,15,155,90.9,107.6,5500.84,148,9,13
2023-07-05,Wednesday,7,July,3,27,0,0,Medicine,9,144,116,124,3,12,23,124,52.5,86.1,4576.75,112,7,12
2023-07-06,Thursday,7,July,3,27,0,0,Medicine,10,180,131,131,8,9,17,131,53.8,72.8,4372.29,125,6,13
2023-07-07,Friday,7,July,3,27,0,0,Pediatrics,8,128,103,105,6,6,14,105,49.6,82.0,2978.56,95,5,12
2023-07-08,Saturday,7,July,3,27,1,0,Pediatrics,7,112,79,81,3,6,11,81,49.5,72.3,2756.72,79,4,9
2023-07-09,Sunday,7,July,3,27,1,0,General OPD,8,128,96,102,5,5,16,102,53.6,79.7,3420.55,95,6,10
2023-07-10,Monday,7,July,3,28,0,0,General OPD,7,105,130,128,6,9,13,128,100.0,121.9,3588.07,122,9,10
2023-07-11,Tuesday,7,July,3,28,0,0,Surgical OPD,8,144,114,125,5,9,25,125,62.2,86.8,4191.3,111,6,12
2023-07-12,Wednesday,7,July,3,28,0,0,Surgical OPD,7,119,117,117,6,9,15,117,73.5,98.3,3489.32,106,7,10
2023-07-13,Thursday,7,July,3,28,0,0,Pediatrics,8,136,123,117,5,12,11,117,46.7,86.0,4093.17,105,8,14
2023-07-14,Friday,7,July,3,28,0,0,General OPD,9,162,122,112,5,14,9,112,51.3,69.1,3808.12,103,4,15
2023-07-15,Saturday,7,July,3,28,1,0,General OPD,8,128,89,98,4,7,20,98,51.1,76.6,3223.41,89,4,12
2023-07-16,Sunday,7,July,3,28,1,0,Medicine,8,136,84,85,5,8,14,85,53.1,62.5,2733.11,81,4,11
2023-07-17,Monday,7,July,3,29,0,0,Surgical OPD,8,136,115,124,2,14,25,124,69.8,91.2,2909.85,110,7,12
2023-07-18,Tuesday,7,July,3,29,0,0,Surgical OPD,6,108,120,130,6,6,22,130,95.8,120.4,3528.58,124,6,9
2023-07-19,Wednesday,7,July,3,29,0,0,Medicine,7,119,117,119,5,9,16,119,77.9,100.0,3745.74,105,8,10
2023-07-20,Thursday,7,July,3,29,0,0,Pediatrics,7,112,107,107,4,7,11,107,72.4,95.5,4074.3,96,6,13
2023-07-21,Friday,7,July,3,29,0,0,General OPD,9,162,128,121,6,11,10,121,54.3,74.7,4145.31,116,7,14
2023-07-22,Saturday,7,July,3,29,1,0,General OPD,8,128,103,103,5,8,13,103,56.2,80.5,4043.39,98,6,10
2023-07-23,Sunday,7,July,3,29,1,0,Surgical OPD,9,153,79,89,4,5,19,89,47.3,58.2,2877.54,83,4,11
2023-07-24,Monday,7,July,3,30,0,0,Pediatrics,6,102,147,149,6,11,19,149,100.0,125.0,4749.61,132,10,10
2023-07-25,Tuesday,7,July,3,30,0,0,General OPD,7,112,149,147,9,13,20,147,100.0,125.0,5541.97,138,10,9
2023-07-26,Wednesday,7,July,3,30,0,0,General OPD,8,120,136,140,5,7,16,140,91.3,116.7,4390.84,129,6,14
2023-07-27,Thursday,7,July,3,30,0,0,Medicine,8,136,133,130,5,8,10,130,73.4,95.6,3647.04,119,7,13
2023-07-28,Friday,7,July,3,30,0,0,General OPD,8,120,109,104,6,6,7,104,49.0,86.7,3459.77,98,5,11
2023-07-29,Saturday,7,July,3,30,1,0,General OPD,7,119,93,98,5,7,17,98,58.4,82.4,3576.03,91,6,10
